Title,Category ,Genre,Author ,Website,Good reads rating ,Published,Rank,Author Ethnicity,Language,ImageFile
The Impossible Fortune,Fiction,Mystery ,Richard Osman,https://www.thetimes.com/culture/books/article/sunday-times-top-50-bestselling-books-2025-7tp7g5lpf?gaa_at=eafs&gaa_n=AWEtsqcEnuiEHqoyRSSDgVSvTRHG7AgrN13f9cmXZAq7X1wkKA2vpIkSO4lOQTDayvc%3D&gaa_ts=69bef89c&gaa_sig=MBx1VBmwz5ExZZlMPnmbhQUbUskJl_juoSAtYYjC7I7_ACB3Gg_OvxwQr9WCcAxoGlLc7tXHtdogxS7ENXYKTg%3D%3D,4 stars,30.09.2025,#1,Western/Northern European,English ,The-Impossible-Fortune.jpg
The Housemaid,Fiction,Thriller ,Freida McFadden,https://www.thetimes.com/culture/books/article/sunday-times-top-50-bestselling-books-2025-7tp7g5lpf?gaa_at=eafs&gaa_n=AWEtsqcEnuiEHqoyRSSDgVSvTRHG7AgrN13f9cmXZAq7X1wkKA2vpIkSO4lOQTDayvc%3D&gaa_ts=69bef89c&gaa_sig=MBx1VBmwz5ExZZlMPnmbhQUbUskJl_juoSAtYYjC7I7_ACB3Gg_OvxwQr9WCcAxoGlLc7tXHtdogxS7ENXYKTg%3D%3D,4 stars,26.04.2022,#2,White (North American),English ,The-Housemaid.jpg
Sunrise on the Reaping,Fiction,Dystopia,Suzanne Collins,https://www.thetimes.com/culture/books/article/sunday-times-top-50-bestselling-books-2025-7tp7g5lpf?gaa_at=eafs&gaa_n=AWEtsqcEnuiEHqoyRSSDgVSvTRHG7AgrN13f9cmXZAq7X1wkKA2vpIkSO4lOQTDayvc%3D&gaa_ts=69bef89c&gaa_sig=MBx1VBmwz5ExZZlMPnmbhQUbUskJl_juoSAtYYjC7I7_ACB3Gg_OvxwQr9WCcAxoGlLc7tXHtdogxS7ENXYKTg%3D%3D,4.5 stars,18.03.2025,#3,White (North American),English ,Sunrise-On-The-Reaping.jpg
We Solve Murders,Fiction,Mystery ,Richard Osman,https://www.thetimes.com/culture/books/article/sunday-times-top-50-bestselling-books-2025-7tp7g5lpf?gaa_at=eafs&gaa_n=AWEtsqcEnuiEHqoyRSSDgVSvTRHG7AgrN13f9cmXZAq7X1wkKA2vpIkSO4lOQTDayvc%3D&gaa_ts=69bef89c&gaa_sig=MBx1VBmwz5ExZZlMPnmbhQUbUskJl_juoSAtYYjC7I7_ACB3Gg_OvxwQr9WCcAxoGlLc7tXHtdogxS7ENXYKTg%3D%3D,4 stars,17.09.2024,#4,Western/Northern European,English ,We-Solve-Murders.jpg
Onyx Storm,Fiction,Fantasy,Rebecca Yarros,https://www.thetimes.com/culture/books/article/sunday-times-top-50-bestselling-books-2025-7tp7g5lpf?gaa_at=eafs&gaa_n=AWEtsqcEnuiEHqoyRSSDgVSvTRHG7AgrN13f9cmXZAq7X1wkKA2vpIkSO4lOQTDayvc%3D&gaa_ts=69bef89c&gaa_sig=MBx1VBmwz5ExZZlMPnmbhQUbUskJl_juoSAtYYjC7I7_ACB3Gg_OvxwQr9WCcAxoGlLc7tXHtdogxS7ENXYKTg%3D%3D,4 stars,21.01.2025,#5,White (North American),English ,Onyx-Storm.jpg
Always Remember,Non- fiction ,Self Help,Charlie Mackesy,https://www.thetimes.com/culture/books/article/sunday-times-top-50-bestselling-books-2025-7tp7g5lpf?gaa_at=eafs&gaa_n=AWEtsqcEnuiEHqoyRSSDgVSvTRHG7AgrN13f9cmXZAq7X1wkKA2vpIkSO4lOQTDayvc%3D&gaa_ts=69bef89c&gaa_sig=MBx1VBmwz5ExZZlMPnmbhQUbUskJl_juoSAtYYjC7I7_ACB3Gg_OvxwQr9WCcAxoGlLc7tXHtdogxS7ENXYKTg%3D%3D,4.5 stars,14.10.2025,#6,Western/Northern European,English ,Always-Remember.jpg
Cozy Corner,Non- fiction ,Other,Coco Wyo,https://www.thetimes.com/culture/books/article/sunday-times-top-50-bestselling-books-2025-7tp7g5lpf?gaa_at=eafs&gaa_n=AWEtsqcEnuiEHqoyRSSDgVSvTRHG7AgrN13f9cmXZAq7X1wkKA2vpIkSO4lOQTDayvc%3D&gaa_ts=69bef89c&gaa_sig=MBx1VBmwz5ExZZlMPnmbhQUbUskJl_juoSAtYYjC7I7_ACB3Gg_OvxwQr9WCcAxoGlLc7tXHtdogxS7ENXYKTg%3D%3D,5 stars,18.03.2025,#7,Southeast Asian,English ,Cozy-Corner.jpg
The Secret of Secrets,Fiction,Thriller ,Dan Brown,https://www.thetimes.com/culture/books/article/sunday-times-top-50-bestselling-books-2025-7tp7g5lpf?gaa_at=eafs&gaa_n=AWEtsqcEnuiEHqoyRSSDgVSvTRHG7AgrN13f9cmXZAq7X1wkKA2vpIkSO4lOQTDayvc%3D&gaa_ts=69bef89c&gaa_sig=MBx1VBmwz5ExZZlMPnmbhQUbUskJl_juoSAtYYjC7I7_ACB3Gg_OvxwQr9WCcAxoGlLc7tXHtdogxS7ENXYKTg%3D%3D,4 stars,09.09.2025,#8,White (North American),English ,The-Secret-of-Secrets.jpg
Fourth Wing,Fiction,Fantasy,Rebecca Yarros,https://www.thetimes.com/culture/books/article/sunday-times-top-50-bestselling-books-2025-7tp7g5lpf?gaa_at=eafs&gaa_n=AWEtsqcEnuiEHqoyRSSDgVSvTRHG7AgrN13f9cmXZAq7X1wkKA2vpIkSO4lOQTDayvc%3D&gaa_ts=69bef89c&gaa_sig=MBx1VBmwz5ExZZlMPnmbhQUbUskJl_juoSAtYYjC7I7_ACB3Gg_OvxwQr9WCcAxoGlLc7tXHtdogxS7ENXYKTg%3D%3D,4 stars,02.05.2023,#9,White (North American),English ,Fourth-Wing.jpg
A Court of Thorns and Roses,Fiction,Fantasy,Sarah J. Maas,https://www.thetimes.com/culture/books/article/sunday-times-top-50-bestselling-books-2025-7tp7g5lpf?gaa_at=eafs&gaa_n=AWEtsqcEnuiEHqoyRSSDgVSvTRHG7AgrN13f9cmXZAq7X1wkKA2vpIkSO4lOQTDayvc%3D&gaa_ts=69bef89c&gaa_sig=MBx1VBmwz5ExZZlMPnmbhQUbUskJl_juoSAtYYjC7I7_ACB3Gg_OvxwQr9WCcAxoGlLc7tXHtdogxS7ENXYKTg%3D%3D,4 stars,05.05.2015,#10,White (North American),English ,A-Court-of-Thorns-and-Roses.jpg
